Weight;Source;Target;Type
35;весь;мочь;Undirected
35;второй;день;Undirected
35;делать;известно;Undirected
35;деталь;известно;Undirected
35;деталь;что;Undirected
35;же;что;Undirected
35;за;книга;Undirected
35;за;проплывать;Undirected
35;игорь;красить;Undirected
35;км;первый;Undirected
35;наполнять;один;Undirected
35;они;час;Undirected
35;работа;совместный;Undirected
35;расстояние;скорость;Undirected
35;сколько;такой;Undirected
34;быть;же;Undirected
34;в;мало;Undirected
34;в;находить;Undirected
34;весь;первый;Undirected
34;время;на;Undirected
34;второй;же;Undirected
34;второй;известно;Undirected
34;город;между;Undirected
34;градус;минута;Undirected
34;два;расстояние;Undirected
34;если;много;Undirected
34;за;маленький;Undirected
34;за;пешеход;Undirected
34;за;прочитывать;Undirected
34;заказ;на;Undirected
34;км;проезжать;Undirected
34;мало;час;Undirected
34;между;проходить;Undirected
34;минута;путь;Undirected
34;он;тот;Undirected
34;проходить;теплоход;Undirected
34;работать;рабочий;Undirected
34;самолет;час;Undirected
34;сколько;три;Undirected
33;быть;он;Undirected
33;в;который;Undirected
33;володя;паша;Undirected
33;второй;труба;Undirected
33;второй;этот;Undirected
33;двое;мочь;Undirected
33;день;же;Undirected
33;день;какой;Undirected
33;день;м;Undirected
33;другой;час;Undirected
33;ехать;за;Undirected
33;за;купить;Undirected
33;за;часы;Undirected
33;и;работать;Undirected
33;минута;от;Undirected
33;на;проходить;Undirected
33;наполнять;сколько;Undirected
33;пролететь;самолет;Undirected
33;проходить;течение;Undirected
32;а;путь;Undirected
32;а;ч;Undirected
32;бензин;рубль;Undirected
32;быстро;второй;Undirected
32;быть;на;Undirected
32;быть;тот;Undirected
32;в;поезд;Undirected
32;в;продавать;Undirected
32;в;со;Undirected
32;вместе;второй;Undirected
32;вместе;рабочий;Undirected
32;володя;игорь;Undirected
32;время;час;Undirected
32;выполнять;много;Undirected
32;двое;работа;Undirected
32;день;этот;Undirected
32;до;проходить;Undirected
32;другой;мочь;Undirected
32;если;мочь;Undirected
32;ехать;скорость;Undirected
32;за;лист;Undirected
32;за;мотоциклист;Undirected
32;идти;скорость;Undirected
32;километр;проехать;Undirected
32;км;рубль;Undirected
32;мастер;мочь;Undirected
32;месяц;сколько;Undirected
32;на;определять;Undirected
32;на;улитка;Undirected
32;неделя;пачка;Undirected
32;одновременно;час;Undirected
32;от;час;Undirected
32;первый;три;Undirected
32;проехать;рубль;Undirected
32;рубль;таксист;Undirected
32;скорость;средний;Undirected
31;а;до;Undirected
31;бригада;первый;Undirected
31;бумага;в;Undirected
31;бумага;за;Undirected
31;в;длина;Undirected
31;в;тот;Undirected
31;во;за;Undirected
31;выполнять;другой;Undirected
31;давать;за;Undirected
31;день;проехать;Undirected
31;день;улитка;Undirected
31;его;час;Undirected
31;если;из;Undirected
31;если;определять;Undirected
31;за;л;Undirected
31;за;поездка;Undirected
31;и;по;Undirected
31;купить;на;Undirected
31;мало;чем;Undirected
31;на;путь;Undirected
31;на;рубль;Undirected
31;на;свой;Undirected
31;на;составлять;Undirected
31;на;средний;Undirected
31;от;проходить;Undirected
31;поезд;скорость;Undirected
31;проезжать;час;Undirected
31;совместный;час;Undirected
30;а;расстояние;Undirected
30;билет;за;Undirected
30;быстро;выполнять;Undirected
30;быть;и;Undirected
30;в;маленький;Undirected
30;второй;он;Undirected
30;выпускать;за;Undirected
30;градус;стрелка;Undirected
30;день;каждый;Undirected
30;если;она;Undirected
30;если;работать;Undirected
30;же;работать;Undirected
30;же;рабочий;Undirected
30;же;с;Undirected
30;задача;минута;Undirected
30;километр;минута;Undirected
30;месяц;составлять;Undirected
30;минута;третий;Undirected
30;не;этот;Undirected
30;неделя;расходоваться;Undirected
30;она;сколько;Undirected
30;первый;проходить;Undirected
30;по;сколько;Undirected
30;пробежать;секунда;Undirected
30;проплывать;час;Undirected
30;такой;час;Undirected
29;а;с;Undirected
29;автомобиль;скорость;Undirected
29;бригада;работать;Undirected
29;бумага;лист;Undirected
29;бумага;неделя;Undirected
29;бумага;пачка;Undirected
29;бумага;расходоваться;Undirected
29;быстро;в;Undirected
29;быть;минута;Undirected
29;быть;скорость;Undirected
29;в;лист;Undirected
29;вместе;первый;Undirected
29;выполнять;одинаковый;Undirected
29;год;за;Undirected
29;деталь;изготавливать;Undirected
29;до;и;Undirected
29;его;ученик;Undirected
29;если;проходить;Undirected
29;за;лодка;Undirected
29;за;нужно;Undirected
29;за;покрасить;Undirected
29;задание;мочь;Undirected
29;и;мочь;Undirected
29;и;одинаковый;Undirected
29;кг;продавать;Undirected
29;лист;неделя;Undirected
29;лист;пачка;Undirected
29;лист;расходоваться;Undirected
29;литр;сколько;Undirected
29;метр;скорость;Undirected
29;минута;работать;Undirected
29;на;одинаковый;Undirected
29;он;расстояние;Undirected
29;первый;этот;Undirected
29;теплоход;час;Undirected
29;турист;час;Undirected
28;аня;за;Undirected
28;бак;первый;Undirected
28;бассейн;насос;Undirected
28;бензин;литр;Undirected
28;бумага;формат;Undirected
28;бы;за;Undirected
28;быть;работа;Undirected
28;в;магазин;Undirected
28;в;формат;Undirected
28;вместе;и;Undirected
28;выполнять;деталь;Undirected
28;выполнять;же;Undirected
28;выполнять;известно;Undirected
28;выполнять;он;Undirected
28;выполнять;что;Undirected
28;два;если;Undirected
28;два;совместный;Undirected
28;двое;день;Undirected
28;день;завод;Undirected
28;день;три;Undirected
28;дерево;за;Undirected
28;деталь;заказ;Undirected
28;дом;за;Undirected
28;же;один;Undirected
28;же;работа;Undirected
28;за;заканчивать;Undirected
28;за;машинистка;Undirected
28;за;потратить;Undirected
28;за;река;Undirected
28;за;теплота;Undirected
28;за;формат;Undirected
28;и;этот;Undirected
28;какой;работа;Undirected
28;кг;магазин;Undirected
28;километр;скорость;Undirected
28;километр;час;Undirected
28;км;составлять;Undirected
28;книга;прочитывать;Undirected
28;лист;формат;Undirected
28;м;улитка;Undirected
28;метр;сколько;Undirected
28;минута;ответ;Undirected
28;минута;секунда;Undirected
28;на;они;Undirected
28;на;от;Undirected
28;на;поездка;Undirected
28;неделя;формат;Undirected
28;ответ;час;Undirected
28;пачка;формат;Undirected
28;пролететь;час;Undirected
28;расходоваться;формат;Undirected
28;решать;этот;Undirected
28;рубль;сколько;Undirected
28;со;час;Undirected
28;три;час;Undirected
27;а;м;Undirected
27;бак;наполнять;Undirected
27;бассейн;наполняться;Undirected
27;билет;на;Undirected
27;бригада;один;Undirected
27;быть;выполнять;Undirected
27;быть;один;Undirected
27;в;два;Undirected
27;в;метр;Undirected
27;в;от;Undirected
27;в;это;Undirected
27;вместе;двое;Undirected
27;вместе;если;Undirected
27;выкапывать;за;Undirected
27;выполнять;делать;Undirected
27;двое;работать;Undirected
27;делать;заказ;Undirected
27;день;дерево;Undirected
27;день;другой;Undirected
27;день;книга;Undirected
27;день;мастер;Undirected
27;для;секунда;Undirected
27;до;путь;Undirected
27;же;известно;Undirected
27;за;загадка;Undirected
27;за;минутный;Undirected
27;за;тест;Undirected
27;заказ;много;Undirected
27;заказ;первый;Undirected
27;и;тот;Undirected
27;и;ученик;Undirected
27;какой;часть;Undirected
27;км;литр;Undirected
27;который;на;Undirected
27;литр;месяц;Undirected
27;литр;проехать;Undirected
27;литр;таксист;Undirected
27;лодка;час;Undirected
27;минута;мочь;Undirected
27;минутный;стрелка;Undirected
27;на;потратить;Undirected
27;находить;решение;Undirected
27;один;печатать;Undirected
27;путь;ч;Undirected
27;расходовать;час;Undirected
27;решение;секунда;Undirected
27;с;тот;Undirected
27;труба;через;Undirected
26;а;быть;Undirected
26;а;его;Undirected
26;а;он;Undirected
26;бак;второй;Undirected
26;большой;за;Undirected
26;быстро;если;Undirected
26;быть;час;Undirected
26;в;год;Undirected
26;в;давать;Undirected
26;в;задача;Undirected
26;в;идти;Undirected
26;в;стрелка;Undirected
26;вверх;за;Undirected
26;велосипед;за;Undirected
26;весь;что;Undirected
26;второй;такой;Undirected
26;второй;три;Undirected
